COG1,COG2,COG3,COG4,COG5,COG6,freq_cog1,freq_cog2,freq_cog3,freq_cog4,freq_cog5,freq_cog6,freq_sum
group_220,group_310,,,,,0.07150480256136606,0.054429028815368194,,,,,0.12593383137673425
group_5140,lcnD_1,,,,,0.49092849519743864,0.4183564567769477,,,,,0.9092849519743864
ADM90719.1,group_12983,,,,,0.08858057630736393,0.054429028815368194,,,,,0.14300960512273214
ABC75806.1,ACF56481.1,,,,,0.5336179295624333,0.29669156883671294,,,,,0.8303094983991461
dpnA,group_17304,,,,,0.14621131270010673,0.17609391675560299,,,,,0.3223052294557097
group_397,group_409,,,,,0.43649946638207043,0.192102454642476,,,,,0.6286019210245464
ACO20826.1,ADM84655.1,,,,,0.096051227321238,0.8228388473852721,,,,,0.9188900747065101
group_7091,group_7092,,,,,0.06296691568836713,0.09071504802561366,,,,,0.1536819637139808
group_6478,sdrD,,,,,0.14300960512273211,0.7214514407684098,,,,,0.8644610458911419
ADM85467.1,group_9349,,,,,0.22732123799359658,0.08431163287086446,,,,,0.311632870864461
group_11398,mta,,,,,0.0672358591248666,0.7982924226254002,,,,,0.8655282817502669
group_18015,group_21894,,,,,0.11419423692636073,0.054429028815368194,,,,,0.16862326574172892
group_11266,pepQ,,,,,0.18676627534685167,0.759871931696905,,,,,0.9466382070437567
group_10969,lacG_1,,,,,0.1568836712913554,0.48986125933831376,,,,,0.6467449306296691
group_16257,group_16258,,,,,0.05549626467449306,0.14300960512273211,,,,,0.19850586979722518
group_12701,group_12707,,,,,0.23372465314834578,0.31910352187833513,,,,,0.5528281750266809
ACO23033.1,group_14833,,,,,0.13127001067235858,0.064034151547492,,,,,0.19530416221985059
ACO21637.1,group_1716,,,,,0.13980789754535752,0.19530416221985059,,,,,0.3351120597652081
rpsP_1,rpsP_2,,,,,0.37566702241195304,0.551760939167556,,,,,0.927427961579509
group_1267,group_1268,,,,,0.06510138740661686,0.07577374599786553,,,,,0.14087513340448238
group_3514,pfbA,,,,,0.3244397011739594,0.5955176093916755,,,,,0.9199573105656349
CAR68809.1,group_13186,,,,,0.29242262540021347,0.052294557097118465,,,,,0.3447171824973319
cmoM,group_5108,,,,,0.3084311632870864,0.2657417289220918,,,,,0.5741728922091782
group_9912,nrdI,,,,,0.07790821771611527,0.7321237993596584,,,,,0.8100320170757737
dpnC,group_10973,,,,,0.5741728922091782,0.0672358591248666,,,,,0.6414087513340448
group_3722,group_3731,,,,,0.07897545357524013,0.0832443970117396,,,,,0.16221985058697974
group_11943,macB,,,,,0.1344717182497332,0.47065101387406616,,,,,0.6051227321237993
ADM90262.1,CAR67980.1,,,,,0.18783351120597652,0.4503735325506937,,,,,0.6382070437566703
group_1293,pezT,,,,,0.06510138740661686,0.13553895410885805,,,,,0.2006403415154749
group_13687,murJ,,,,,0.08004268943436499,0.8527214514407684,,,,,0.9327641408751334
group_1330,group_1334,,,,,0.051227321237993596,0.08858057630736393,,,,,0.13980789754535752
cmtB,group_8988,,,,,0.5624332977588047,0.3831376734258271,,,,,0.9455709711846318
AAK74219.1,ACF55597.1,,,,,0.39807897545357523,0.5474919957310566,,,,,0.9455709711846318
group_10286,group_10288,,,,,0.3255069370330843,0.12273212379935966,,,,,0.44823906083244397
group_17024,group_20152,,,,,0.17075773745997866,0.060832443970117396,,,,,0.23159018143009605
AAK75011.1,group_5256,,,,,0.384204909284952,0.14514407684098185,,,,,0.5293489861259338
group_80,group_87,,,,,0.17929562433297758,0.2006403415154749,,,,,0.37993596584845246
ACF55927.1,group_9422,,,,,0.2497331910352188,0.11205976520811099,,,,,0.3617929562433298
ACO22684.1,group_17439,,,,,0.15474919957310565,0.052294557097118465,,,,,0.20704375667022412
group_8642,modC,,,,,0.32123799359658484,0.6125933831376734,,,,,0.9338313767342583
group_5380,group_5382,,,,,0.3127001067235859,0.0736392742796158,,,,,0.3863393810032017
group_11883,group_11887,,,,,0.16435432230522945,0.4823906083244397,,,,,0.6467449306296691
CBW32917.1,group_12760,,,,,0.743863393810032,0.08217716115261472,,,,,0.8260405549626467
group_5235,pepA_2,,,,,0.25720384204909286,0.3084311632870864,,,,,0.5656350053361793
group_2692,ramC_2,,,,,0.1622198505869797,0.05549626467449306,,,,,0.21771611526147278
eabC,group_6867,,,,,0.5133404482390609,0.18890074706510138,,,,,0.7022411953041623
group_12751,natA_1,,,,,0.384204909284952,0.5635005336179295,,,,,0.9477054429028815
group_3171,phtE_1,,,,,0.1248665955176094,0.3073639274279616,,,,,0.43223052294557096
ACO20463.1,group_1687,,,,,0.6328708644610459,0.10245464247598719,,,,,0.7353255069370331
group_3354,group_3356,,,,,0.08110992529348986,0.37780149413020275,,,,,0.4589114194236926
CBW31681.1,group_11851,,,,,0.11739594450373532,0.064034151547492,,,,,0.1814300960512273
group_621,group_662,,,,,0.07790821771611527,0.05016008537886873,,,,,0.128068303094984
secA_1,secA_2,,,,,0.30202774813233724,0.1814300960512273,,,,,0.4834578441835645
group_9744,group_9745,,,,,0.19637139807897544,0.6926360725720384,,,,,0.8890074706510138
group_17483,group_17484,,,,,0.054429028815368194,0.11312700106723586,,,,,0.16755602988260404
ADM85059.1,CAR69202.1,,,,,0.2102454642475987,0.28281750266808964,,,,,0.49306296691568835
group_5674,group_5681,,,,,0.10672358591248667,0.19850586979722518,,,,,0.3052294557097118
ACO20205.1,group_4281,,,,,0.10885805763073639,0.0576307363927428,,,,,0.1664887940234792
cbpG,group_5492,,,,,0.7075773745997865,0.1152614727854856,,,,,0.8228388473852721
ADM84067.1,group_7307,,,,,0.19637139807897544,0.31163287086446106,,,,,0.5080042689434365
ABJ54137.1,group_14049,,,,,0.26254002134471716,0.096051227321238,,,,,0.35859124866595515
ACF55605.1,ACO22013.1,,,,,0.1056563500533618,0.05016008537886873,,,,,0.15581643543223053
group_6341,rggD_2,,,,,0.17395944503735325,0.7022411953041622,,,,,0.8762006403415155
AAK75157.1,ACO21347.1,,,,,0.16435432230522945,0.7822838847385272,,,,,0.9466382070437567
group_12411,group_12418,,,,,0.051227321237993596,0.0768409818569904,,,,,0.128068303094984
group_2024,yqbO,,,,,0.10672358591248667,0.1622198505869797,,,,,0.2689434364994664
group_9983,group_9984,,,,,0.061899679829242264,0.05549626467449306,,,,,0.11739594450373533
group_8415,group_8419,,,,,0.2550693703308431,0.3628601921024546,,,,,0.6179295624332977
AAK75574.1,ADM85093.1,,,,,0.5880469583778015,0.2017075773745998,,,,,0.7897545357524013
ADM92221.1,group_14371,,,,,0.05869797225186766,0.07577374599786553,,,,,0.1344717182497332
bceA,group_11422,,,,,0.8527214514407684,0.07043756670224119,,,,,0.9231590181430096
group_13670,group_13673,,,,,0.05869797225186766,0.08110992529348986,,,,,0.13980789754535752
group_5451,ykfA,,,,,0.24546424759871932,0.6520811099252934,,,,,0.8975453575240128
group_3818,group_3820,,,,,0.09818569903948772,0.16115261472785486,,,,,0.25933831376734257
group_17421,group_7538,,,,,0.37353255069370334,0.08110992529348986,,,,,0.4546424759871932
AAK75154.1,ACO22179.1,,,,,0.43329775880469584,0.4781216648879402,,,,,0.9114194236926361
group_13557,malI,,,,,0.05656350053361793,0.09178228388473852,,,,,0.14834578441835644
blpL,group_7154,,,,,0.30202774813233724,0.256136606189968,,,,,0.5581643543223052
group_6181,group_6183,,,,,0.05656350053361793,0.05656350053361793,,,,,0.11312700106723586
ACO22654.1,ADM91846.1,,,,,0.5410885805763074,0.16008537886872998,,,,,0.7011739594450374
group_12261,group_12262,,,,,0.11205976520811099,0.08431163287086446,,,,,0.19637139807897547
group_2563,group_2564,,,,,0.08858057630736393,0.0832443970117396,,,,,0.1718249733191035
ADM83633.1,group_17360,,,,,0.1622198505869797,0.05976520811099253,,,,,0.22198505869797225
AAK76196.1,group_5308,,,,,0.20811099252934898,0.06616862326574173,,,,,0.2742796157950907
group_7791,lacD,,,,,0.39487726787620064,0.4311632870864461,,,,,0.8260405549626467
ADM83781.1,group_6698,,,,,0.08110992529348986,0.21771611526147278,,,,,0.29882604055496265
group_15530,hup,,,,,0.0864461045891142,0.7406616862326574,,,,,0.8271077908217715
ABJ55266.1,group_7657,,,,,0.10138740661686232,0.07790821771611527,,,,,0.17929562433297758
ADM84011.1,CBW32047.1,,,,,0.18569903948772679,0.19637139807897544,,,,,0.3820704375667022
arcC1,group_19439,,,,,0.6616862326574173,0.27321237993596587,,,,,0.9348986125933831
group_14039,group_19789,,,,,0.08217716115261472,0.11953041622198506,,,,,0.20170757737459977
ADM83637.1,CBW31697.1,,,,,0.07790821771611527,0.11312700106723586,,,,,0.1910352187833511
group_15128,group_15132,,,,,0.17502668089647813,0.10352187833511206,,,,,0.27854855923159016
ABJ54858.1,ACO23799.1,,,,,0.3415154749199573,0.1718249733191035,,,,,0.5133404482390609
ABJ54684.1,group_9836,,,,,0.09925293489861259,0.12166488794023479,,,,,0.22091782283884737
CBW33154.1,group_9114,,,,,0.6275346851654215,0.054429028815368194,,,,,0.6819637139807897
group_16181,nagD,,,,,0.07043756670224119,0.128068303094984,,,,,0.19850586979722518
ABJ54630.1,CBW31811.1,,,,,0.09818569903948772,0.26680896478121663,,,,,0.36499466382070433
group_1858,vexp1,,,,,0.12700106723585913,0.21558164354322304,,,,,0.3425827107790822
group_17364,pncG,,,,,0.08751334044823907,0.27748132337246534,,,,,0.3649946638207044
CAR67894.1,group_18028,,,,,0.1718249733191035,0.05549626467449306,,,,,0.22732123799359658
group_16268,group_16269,,,,,0.1056563500533618,0.061899679829242264,,,,,0.16755602988260407
ADM91335.1,CBW32633.1,,,,,0.08217716115261472,0.2913553895410886,,,,,0.3735325506937033
ACO21460.1,group_13342,,,,,0.06296691568836713,0.12273212379935966,,,,,0.18569903948772679
group_7349,group_7354,,,,,0.10672358591248667,0.07470651013874066,,,,,0.18143009605122734
group_13424,group_13425,,,,,0.15581643543223053,0.3479188900747065,,,,,0.503735325506937
group_1175,group_1208,,,,,0.08751334044823907,0.05869797225186766,,,,,0.14621131270010673
ACO23211.1,CBW32097.1,,,,,0.10885805763073639,0.83991462113127,,,,,0.9487726787620064
group_6901,nagC_2,,,,,0.13340448239060831,0.4994663820704376,,,,,0.6328708644610459
ABJ55008.1,ACO20998.1,,,,,0.27854855923159016,0.5293489861259338,,,,,0.807897545357524
group_9752,rhaR,,,,,0.07897545357524013,0.7299893276414088,,,,,0.8089647812166489
ADM90095.1,group_7021,,,,,0.07257203842049093,0.11632870864461047,,,,,0.1889007470651014
ACF56011.1,group_15308,,,,,0.13233724653148346,0.09711846318036287,,,,,0.2294557097118463
btuD_2,group_3258,,,,,0.6350053361792957,0.28281750266808964,,,,,0.9178228388473852
ACF54808.1,ADM91465.1,,,,,0.767342582710779,0.07897545357524013,,,,,0.8463180362860192
AAK76198.1,gcnA,,,,,0.8516542155816436,0.0672358591248666,,,,,0.9188900747065102
arnC_2,pgaC,,,,,0.32123799359658484,0.5944503735325507,,,,,0.9156883671291356
ADM92067.1,group_538,,,,,0.05976520811099253,0.13660618996798293,,,,,0.19637139807897547
group_10620,group_10622,,,,,0.240128068303095,0.6659551760939167,,,,,0.9060832443970117
ADM92200.1,group_10302,,,,,0.12913553895410887,0.15154749199573106,,,,,0.28068303094983993
group_9162,group_9175,,,,,0.064034151547492,0.052294557097118465,,,,,0.11632870864461045
ACO20790.1,group_4870,,,,,0.05016008537886873,0.06296691568836713,,,,,0.11312700106723586
blpO_2,group_4295,,,,,0.6350053361792957,0.14834578441835647,,,,,0.7833511205976521
group_13797,purH,,,,,0.4813233724653148,0.39381003201707576,,,,,0.8751334044823906
cbpJ_1,group_2214,,,,,0.2934898612593383,0.08110992529348986,,,,,0.37459978655282816
ACO20755.1,ACO22683.1,,,,,0.35538954108858056,0.4258271077908218,,,,,0.7812166488794023
group_18786,group_18787,,,,,0.14300960512273211,0.19637139807897544,,,,,0.33938100320170755
group_2877,group_2879,,,,,0.2550693703308431,0.05549626467449306,,,,,0.3105656350053362
CAR69343.1,group_11232,,,,,0.0576307363927428,0.07577374599786553,,,,,0.13340448239060831
group_15982,mtlF,,,,,0.06510138740661686,0.5176093916755603,,,,,0.5827107790821772
group_501,group_526,,,,,0.05336179295624333,0.12913553895410887,,,,,0.1824973319103522
ADM85561.1,CBW33398.1,,,,,0.07043756670224119,0.6435432230522946,,,,,0.7139807897545358
cpsB,group_4832,,,,,0.2550693703308431,0.28175026680896476,,,,,0.5368196371398078
group_1506,group_1528,,,,,0.10352187833511206,0.33938100320170755,,,,,0.4429028815368196
ABJ54700.1,group_3503,,,,,0.1376734258271078,0.12059765208110992,,,,,0.2582710779082177
group_11050,lipO,,,,,0.14621131270010673,0.384204909284952,,,,,0.5304162219850588
group_1957,pcpA,,,,,0.3959445037353255,0.28175026680896476,,,,,0.6776947705442903
group_5701,ybhF,,,,,0.400213447171825,0.423692636072572,,,,,0.823906083244397
AAK75262.1,iga_2,,,,,0.29989327641408753,0.3852721451440768,,,,,0.6851654215581644
group_11247,xerD_1,,,,,0.09391675560298826,0.10458911419423693,,,,,0.19850586979722518
fabG2,group_1087,,,,,0.16862326574172892,0.14941302027748132,,,,,0.31803628601921025
group_8587,serB,,,,,0.1056563500533618,0.8143009605122732,,,,,0.919957310565635
ADM83966.1,ADM90491.1,,,,,0.09925293489861259,0.14941302027748132,,,,,0.2486659551760939
Fucolectin-rel,group_7193,,,,,0.13980789754535752,0.06830309498399147,,,,,0.208110992529349
AAK75039.1,atpB_1,,,,,0.18783351120597652,0.0864461045891142,,,,,0.27427961579509075
group_17099,group_17100,,,,,0.06296691568836713,0.06937033084311633,,,,,0.13233724653148346
group_9922,mtlR,,,,,0.06510138740661686,0.5154749199573105,,,,,0.5805763073639274
group_5442,group_5443,,,,,0.060832443970117396,0.05336179295624333,,,,,0.11419423692636073
ACO23667.1,group_166,,,,,0.05549626467449306,0.4258271077908218,,,,,0.48132337246531487
group_28171,tsf,,,,,0.13340448239060831,0.8153681963713981,,,,,0.9487726787620064
ACO21615.1,group_13881,,,,,0.8516542155816436,0.05016008537886873,,,,,0.9018143009605123
group_12193,group_12195,,,,,0.31910352187833513,0.17075773745997866,,,,,0.4898612593383138
citS,group_4237,,,,,0.6296691568836713,0.0576307363927428,,,,,0.687299893276414
ACO22943.1,group_18145,,,,,0.08217716115261472,0.060832443970117396,,,,,0.14300960512273211
group_11364,group_11367,,,,,0.20490928495197439,0.3457844183564568,,,,,0.5506937033084311
group_3764,leuA_1,,,,,0.10779082177161152,0.2892209178228389,,,,,0.3970117395944504
group_6611,leuS,,,,,0.15474919957310565,0.7481323372465315,,,,,0.9028815368196371
dpnM,group_17311,,,,,0.14621131270010673,0.17822838847385272,,,,,0.3244397011739595
group_1430,tsf_1,,,,,0.22411953041622198,0.23692636072572038,,,,,0.4610458911419424
deoD_2,group_13892,,,,,0.5432230522945571,0.35965848452508004,,,,,0.9028815368196372
ACF55937.1,CAR69576.1,,,,,0.27961579509071505,0.5635005336179295,,,,,0.8431163287086445
dnaC_2,group_12935,,,,,0.12059765208110992,0.052294557097118465,,,,,0.1728922091782284
group_18875,group_18879,,,,,0.05336179295624333,0.07470651013874066,,,,,0.128068303094984
ACO23893.1,group_17464,,,,,0.052294557097118465,0.05549626467449306,,,,,0.10779082177161153
group_2870,lacZ,,,,,0.13020277481323372,0.8121664887940235,,,,,0.9423692636072573
ABJ54054.1,ADM84734.1,,,,,0.144076840981857,0.051227321237993596,,,,,0.19530416221985059
CAR68795.1,group_4861,,,,,0.7694770544290288,0.08858057630736393,,,,,0.8580576307363927
ACO22746.1,group_11261,,,,,0.13980789754535752,0.10138740661686232,,,,,0.24119530416221985
ABJ55494.1,ACF55709.1,,,,,0.25933831376734257,0.6776947705442903,,,,,0.9370330843116328
group_3487,group_3489,,,,,0.5432230522945571,0.054429028815368194,,,,,0.5976520811099253
ACF56606.1,CAR69588.1,,,,,0.39701173959445035,0.39701173959445035,,,,,0.7940234791889007
group_2935,strH_2,,,,,0.10458911419423693,0.10672358591248667,,,,,0.2113127001067236
blpX,group_11673,,,,,0.5795090715048026,0.18890074706510138,,,,,0.768409818569904
AAK75722.1,ACF56201.1,,,,,0.14941302027748132,0.39807897545357523,,,,,0.5474919957310566
ACF55702.1,ACO21783.1,,,,,0.8175026680896478,0.054429028815368194,,,,,0.8719316969050159
AAK74695.1,group_613,,,,,0.2753468516542156,0.09711846318036287,,,,,0.37246531483457845
artQ,group_5997,,,,,0.6595517609391676,0.15581643543223053,,,,,0.8153681963713981
ACF56837.1,group_1790,,,,,0.09925293489861259,0.054429028815368194,,,,,0.1536819637139808
group_10700,group_10711,,,,,0.05869797225186766,0.05976520811099253,,,,,0.11846318036286019
ACO23723.1,group_11041,,,,,0.11205976520811099,0.0672358591248666,,,,,0.17929562433297758
group_5626,tsaD,,,,,0.34044823906083244,0.6093916755602988,,,,,0.9498399146211313
group_17686,group_17692,,,,,0.05656350053361793,0.07150480256136606,,,,,0.128068303094984
group_7994,xerC_3,,,,,0.06616862326574173,0.10672358591248667,,,,,0.1728922091782284
ACO23954.1,group_10527,,,,,0.30202774813233724,0.1718249733191035,,,,,0.47385272145144075
clpE,group_7695,,,,,0.5635005336179295,0.35538954108858056,,,,,0.9188900747065101
AAK75710.1,ADM85222.1,,,,,0.0672358591248666,0.4994663820704376,,,,,0.5667022411953042
group_10463,group_10468,,,,,0.0576307363927428,0.09711846318036287,,,,,0.15474919957310568
group_15891,xerC_1,,,,,0.08537886872998933,0.2508004268943437,,,,,0.336179295624333
ADM84233.1,CAR68436.1,,,,,0.24759871931696906,0.6723585912486659,,,,,0.919957310565635
epsH_1,hyaD_2,,,,,0.18996798292422626,0.14194236926360726,,,,,0.3319103521878335
group_27806,tuf,,,,,0.16435432230522945,0.6937033084311632,,,,,0.8580576307363927
ACO21859.1,ltrA_3,,,,,0.10032017075773746,0.10032017075773746,,,,,0.2006403415154749
group_1258,group_1270,,,,,0.12059765208110992,0.17716115261472787,,,,,0.2977588046958378
dpnB,group_15584,,,,,0.14621131270010673,0.17822838847385272,,,,,0.3244397011739595
ADM85248.1,CAR69432.1,,,,,0.3223052294557097,0.608324439701174,,,,,0.9306296691568837
